PG.ProteinGroups	STM_ID	ΔlppA early	ΔlppA late	ΔlppB early	ΔlppB late	WT early	WT late	WT early vs ΔlppA early	WT early vs ΔlppB early	WT late vs ΔlppA late	WT late vs ΔlppB late	ΔlppA early vs ΔlppB early	ΔlppA late vs ΔlppB late
A0A0H3N9C3	STM0815	57274.201171875	28934.8793945312	41953.708984375	41262.6645507813	44426.298828125	46147.953125	-0.36647147689587045	0.08261559482778655	0.6734570283735826	0.16142967233556213	0.44908707172365686	-0.5120273560380203
A0A0H3NEL0	STM0816	579852.8203125	30841.5688476562	249889.40234375	80968.3090820313	260019.3125	129092.447916667	-1.1570679772591719	0.05732906208663978	2.065456544312468	0.6729753493555832	1.2143970393458114	-1.392481194956885
A0A0H3N9V0	STM0817	197964.45703125	134496.830078125	105681.28515625	89619.1796875	101331.017578125	89801.6640625	-0.9661655760714257	-0.06064406307494076	-0.582758086595981	0.002934657848314815	0.905521512996485	0.5856927444442959
A0A0H3NJA9	STM0818	765896.046875	536978.109375	372818.4609375	356448.59375	363575.515625	346286.802083333	-1.0748935451459154	-0.03621825306479824	-0.6328958724178273	-0.04172662567880298	1.0386752920811169	0.5911692467390244
A0A0H3NB21	STM0819	71956.5595703125	68686.587890625	52030.76171875	55887.751953125	46786.2109375	56496.62890625	-0.6210428149805454	-0.15328143393572696	-0.2818636322003424	0.01563264127816488	0.4677613810448184	0.2974962734785073
A0A0H3N9C8	STM0820	44689.6396484375	32910.4047851562	164835.34375	128093.953125	198444.78515625	114314.46875	2.15072533405459	0.2677120346620558	1.7963923403419189	-0.16419435600284416	-1.8830132993925344	-1.960586696344763
A0A0H3NEL5	STM0821	86972.607421875	63707.380859375	88897.982421875	90126.900390625	97171.666015625	91860.5208333333	0.15997461769692697	0.1283850273435758	0.5279844368927172	0.027487188475991773	-0.031589590353351085	-0.5004972484167254
A0A0H3N9V6	STM0822	732720.9375	826422.578125	376423.7890625	310583.1015625	370272.8828125	329755.572916667	-0.9846749446541279	-0.023768909122954304	-1.3254826281872985	0.08641770480620195	0.9609060355311737	1.4119003329935003
A0A0H3NJB4	STM0823	8005.92315673828	13685.9211425781	17766.9614257813	22654.9404296875	18480.5744628906	14792.6276041667	1.2068699296931433	0.05681263597935914	0.1121858003286327	-0.614947357226217	-1.1500572937137843	-0.7271331575548498
A0A0H3N9D2	STM0826	22041.2119140625	14191.6046142578	34444.1259765625	31848.0849609375	38842.2963867187	30676.2669270833	0.8174249452909544	0.17337052657652124	1.1120852072436431	-0.05408369692069664	-0.644054418714433	-1.1661689041643397
